name,description,category,previous_price,price
"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops","Your perfect pack for everyday use and walks in the forest. Stash your laptop (up to 15 inches) in the padded sleeve, your everyday","Bag,Men",123,109.95
Mens Casual Premium Slim Fit T-Shirts,"Slim-fitting style, contrast raglan long sleeve, three-button henley placket, light weight & soft fabric for breathable and comfortable wearing. And Solid stitched shirts with round neck made for durability and a great fit for casual fashion wear and diehard baseball fans. The Henley style round neckline includes a three-button placket.","Men,T-shirt",,22.3
Mens Cotton Jacket,"great outerwear jackets for Spring/Autumn/Winter, suitable for many occasions, such as working, hiking, camping, mountain/rock climbing, cycling, traveling or other outdoors. Good gift choice for you or your family member. A warm hearted love to Father, husband or son in this thanksgiving or Christmas Day.","Men,Jacket",,55.99
Mens Casual Slim Fit,"The color could be slightly different between on the screen and in practice. / Please note that body builds vary by person, therefore, detailed size information should be reviewed below on the product description.","Men,Shirt",17.99,15.99
John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,"From our Legends Collection, the Naga was inspired by the mythical water dragon that protects the ocean's pearl. Wear facing inward to be bestowed with love and abundance, or outward for protection.","Accessories,Men",,695
Solid Gold Petite Micropave,Satisfaction Guaranteed. Return or exchange any order within 30 days.Designed and sold by Hafeez Center in the United States. Satisfaction Guaranteed. Return or exchange any order within 30 days.,"Accessories,Women",,168
White Gold Plated Princess,"Classic Created Wedding Engagement Solitaire Diamond Promise Ring for Her. Gifts to spoil your love more for Engagement, Wedding, Anniversary, Valentine's Day…","Accessories,Women",12.99,9.99
Pierced Owl Rose Gold Plated Stainless Steel Double,Rose Gold Plated Double Flared Tunnel Plug Earrings. Made of 316L Stainless Steel,"Accessories,Women",,10.99
BIYLACLESEN Women's 3-in-1 Snowboard Jacket Winter Coats,"Note:The Jackets is US standard size, Please choose size as your usual wear Material: 100% Polyester; Detachable Liner Fabric: Warm Fleece. Detachable Functional Liner: Skin Friendly, Lightweigt and Warm.Stand Collar Liner jacket, keep you warm in cold weather. Zippered Pockets: 2 Zippered Hand Pockets, 2 Zippered Pockets on Chest (enough to keep cards or keys)and 1 Hidden Pocket Inside.Zippered Hand Pockets and Hidden Pocket keep your things secure. Humanized Design: Adjustable and Detachable Hood and Adjustable cuff to prevent the wind and water,for a comfortable fit. 3 in 1 Detachable Design provide more convenience, you can separate the coat and inner as needed, or wear it together. It is suitable for different season and help you adapt to different climates","Jacket,Women",68.98,56.99
Lock and Love Women's Removable Hooded Faux Leather Moto Biker Jacket,"100% POLYURETHANE(shell) 100% POLYESTER(lining) 75% POLYESTER 25% COTTON (SWEATER), Faux leather material for style and comfort / 2 pockets of front, 2-For-One Hooded denim style faux leather jacket, Button detail on waist / Detail stitching at sides, HAND WASH ONLY / DO NOT BLEACH / LINE DRY / DO NOT IRON","Jacket,Women",,29.95
Rain Jacket Women Windbreaker Striped Climbing Raincoats,"Lightweight perfet for trip or casual wear---Long sleeve with hooded, adjustable drawstring waist design. Button and zipper front closure raincoat, fully stripes Lined and The Raincoat has 2 side pockets are a good size to hold all kinds of things, it covers the hips, and the hood is generous but doesn't overdo it.Attached Cotton Lined Hood with Adjustable Drawstrings give it a real styled look.","Coat,Women",49.99,39.99
MBJ Women's Solid Short Sleeve Boat Neck V,"95% RAYON 5% SPANDEX, Made in USA or Imported, Do Not Bleach, Lightweight fabric with great stretch for comfort, Ribbed on sleeves and neckline / Double stitching on bottom hem","T-shirt,Women",,9.85
Opna Women's Short Sleeve Moisture,"100% Polyester, Machine wash, 100% cationic polyester interlock, Machine Wash & Pre Shrunk for a Great Fit, Lightweight, roomy and highly breathable with moisture wicking fabric which helps to keep moisture away, Soft Lightweight Fabric with comfortable V-neck collar and a slimmer fit, delivers a sleek, more feminine silhouette and Added Comfort"",
""category"": ""women's clothing","T-shirt,Women",11.98,7.95
DANVOUY Womens T Shirt Casual Cotton Short,"95%Cotton,5%Spandex, Features: Casual, Short Sleeve, Letter Print,V-Neck,Fashion Tees, The fabric is soft and has some stretch., Occasion: Casual/Office/Beach/School/Home/Street. Season: Spring,Summer,Autumn,Winter.","T-shirt,Women",,12.99
Printed Cotton T-shirt,"Edition by John Boyega. An uncompromising collection made from more sustainable materials developed together with actor and innovator, John Boyega. T-shirt in soft, organic cotton jersey. Ribbed crew neck, printed design on chest and at back, and straight-cut hem.","Men,T-shirt",,24.99
Premium Cotton Polo Shirt,"Fine-knit polo shirt in premium cotton. Ribbed collar, button placket, and short sleeves with ribbed cuffs.","Men,T-shirt",49.99,39.99
10-pack Regular Fit T-shirts,Crew-neck T-shirts in soft cotton jersey.,"Men,T-shirt",,64.99
5-pack Slim Fit T-shirts,Slim-fit T-shirts in soft cotton jersey with a round neck.,"Men,T-shirt",45.98,39.99
2-pack COOLMAX® T-shirts,"Crew-neck T-shirts in soft jersey made from COOLMAX® functional fabric – a unique, soft, comfortable, and fast-drying polyester fiber to efficiently wick moisture while regulating temperature.","Men,T-shirt",,34.99
Slim Fit Premium Cotton Polo Shirt,"Short-sleeved polo shirt in soft premium cotton. Ribbed collar, two buttons at top, open chest pocket, and slit at sides of hem. Slim Fit – shaped at chest and tapered at waist, combined with slightly narrower sleeves for a tailored silhouette.","Men,T-shirt",,34.99
3-pack Slim Fit T-shirts,"Slim-fit, V-neck T-shirts in soft jersey.","Men,T-shirt",32.99,29.99
2-pack Regular Fit COOLMAX® T-shirts,"Regular-fit, crew-neck T-shirts in a soft, stretch cotton blend made with COOLMAX® functional fabric – a unique, soft, comfortable, and fast-drying polyester fiber to efficiently wick moisture while regulating temperature.","Men,T-shirt",,29.99
2-pack Relaxed Fit T-shirts,Relaxed-fit T-shirts in soft cotton jersey. Ribbed crew neck and dropped shoulders.,"Men,T-shirt",,29.99
Fine-knit Polo Shirt,"Short-sleeved, fine-knit polo shirt in cotton with a ribbed collar and button placket.","Men,T-shirt",39.99,29.99
COOLMAX® Piqué Polo Shirt,"Polo shirt in cotton-blend piqué. Collar, button placket, and short sleeves. Made with COOLMAX® functional fabric – a unique, soft, comfortable, and fast-drying polyester fiber to efficiently wick moisture while regulating temperature.","Men,T-shirt",,29.99
Muscle Fit Sports Shirt,"Shirt in fast-drying, functional fabric to help keep you dry and cool while exercising. Long, raglan-cut sleeves for a flattering fit over shoulders and chest. Rounded hem.","Men,T-shirt",,29.99
Relaxed Fit Cotton T-shirt,Relaxed-fit T-shirt in soft cotton jersey. Ribbed crew neck and dropped shoulders.,"Men,T-shirt",39.99,29.99
Regular Fit Pima Cotton T-shirt,Regular-fit T-shirt in pima cotton jersey. Ribbed crew neck and straight-cut hem with slit at sides.,"Men,T-shirt",,29.98
Relaxed Fit COOLMAX® T-shirt,"Crew-neck T-shirt in soft jersey with a printed design. Made from COOLMAX® functional fabric – a unique, soft, comfortable, and fast-drying polyester fiber to efficiently wick moisture while regulating temperature.","Men,T-shirt",49.99,24.99
Relaxed Fit Printed T-shirt,Relaxed-fit T-shirt in soft cotton jersey with a printed design. Crew neck.,"Men,T-shirt",,19.99
Cotton T-shirt,"Blank staples is a streetwear collection of minimalistic pieces – the perfect canvas for your personal style and creativity. This contemporary T-shirt is made from heavy, 7 oz/yd2 organic cotton jersey for a premium handfeel. Straight-cut, oversized, and relaxed fit with a ribbed crew neck and dropped shoulders.","Men,T-shirt",16.98,12.99
